jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
-4.3,0.4,7.0,15.6,21.6,23.8,25.0,25.8,20.3,14.8,5.1,-1.5,12.8
-2.9,-2.1,6.8,14.7,21.2,25.4,27.3,25.0,21.6,13.0,5.7,0.1,13.0
-4.5,-2.5,3.9,13.0,20.6,25.1,26.9,25.4,19.9,13.3,4.8,-3.1,11.9
-4.7,-1.9,3.4,14.8,19.5,24.2,25.5,25.0,18.6,13.8,3.8,-3.6,11.5
-3.7,-1.8,6.9,15.0,21.3,25.3,25.1,24.5,19.8,11.4,3.4,-1.7,12.1
-3.6,0.1,4.1,13.5,19.9,23.3,26.6,24.8,21.0,13.7,3.9,-0.3,12.3
-2.9,-1.4,4.4,15.0,20.1,24.9,25.9,24.4,21.2,14.1,6.9,-0.2,12.7
-2.0,1.6,8.4,16.1,21.1,24.8,25.7,25.1,19.3,13.8,4.6,-0.2,13.2
-4.9,-0.6,7.6,13.7,19.6,24.8,25.6,25.4,20.2,15.3,6.4,-0.8,12.7
-2.3,-0.1,4.4,13.9,19.9,24.1,25.9,27.1,20.4,13.8,4.6,-1.8,12.5
-1.1,1.8,6.7,15.5,20.5,23.5,26.8,24.6,20.5,12.2,3.4,-0.3,12.8
-3.7,1.6,8.1,14.0,21.5,25.4,25.2,25.2,21.3,13.9,3.7,-0.8,13.0
-1.6,0.8,5.6,17.3,21.0,26.8,27.7,26.5,21.1,14.1,6.4,-1.4,13.7
-0.7,2.1,7.7,14.7,19.8,24.2,25.9,25.4,19.0,14.5,7.7,-0.4,13.3
-2.2,-0.4,6.3,14.3,21.6,25.4,25.5,23.9,20.7,12.8,4.0,0.9,12.7
-3.7,1.3,8.7,14.5,20.0,24.6,28.2,26.6,18.6,14.0,5.4,-1.5,13.1
-3.9,2.4,7.6,15.0,19.6,23.6,26.5,25.1,22.2,14.8,4.0,0.1,13.1
-1.6,2.2,4.8,14.4,19.5,25.4,28.1,25.6,20.8,13.0,5.9,-0.6,13.1
-6.4,-1.4,8.1,14.5,20.4,26.7,29.5,25.7,21.9,12.7,3.0,-0.5,12.9
-5.4,-1.5,7.3,14.4,23.1,25.7,27.3,25.8,21.2,13.8,5.3,-2.4,12.9
0.1,3.4,9.8,14.1,21.9,23.6,27.5,25.7,20.5,10.7,3.4,-2.9,13.2
-3.1,0.9,6.3,15.3,21.0,24.7,26.1,26.2,20.6,13.2,3.5,0.3,12.9
-2.3,2.9,7.8,16.3,20.5,25.0,26.0,24.9,21.3,14.0,6.5,-0.5,13.5
-2.8,-2.9,6.3,16.4,19.8,25.6,27.9,26.0,22.1,14.9,7.5,-2.5,13.2
-1.9,-0.9,8.0,13.5,20.4,25.9,25.9,26.4,21.8,16.1,6.8,-1.0,13.4
-1.5,3.7,6.3,15.2,22.6,26.2,26.9,26.6,22.4,13.6,5.6,0.5,14.0
-3.0,0.6,9.1,15.9,20.3,23.4,27.2,26.1,21.0,14.6,6.3,-1.0,13.4
-3.0,1.0,7.0,15.9,22.9,26.2,27.0,25.7,21.1,15.3,2.2,-2.3,13.3
-4.8,-1.0,4.1,11.2,21.7,24.7,28.6,26.5,21.3,13.6,5.8,-1.0,12.6
-4.5,-0.1,8.1,15.2,21.3,26.4,27.5,26.4,20.2,14.2,7.1,-1.0,13.4
